[[0, 0], [1, 1], [0, 0], [0, 1], [0, 0], [0, 0], [1, 2], [0, 0], [0, 1], [0, 1], [0, 0], [0, 0], [0, 0]]
[[0, 1], [0, 0], [0, 1], [0, 1], [0, 0], [1, 1], [0, 1], [0, 0], [0, 1], [1, 2], [0, 0], [0, 0], [0, 0]]
[[0, 0], [1, 1], [0, 0], [0, 1], [0, 0], [0, 0], [1, 1], [0, 0], [0, 1], [0, 0], [0, 0], [0, 0], [0, 0]]
[[1, 1], [1, 1], [1, 1], [0, 0], [0, 0], [0, 0], [2, 2], [0, 0], [1, 1], [2, 2], [0, 0], [0, 0], [0, 0]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
[[0, 0], [0, 1], [0, 0], [0, 0], [0, 0], [0, 0], [0, 2], [0, 0], [0, 0], [1, 2], [0, 0], [0, 0], [1, 1]]
[[1, 2], [1, 1], [0, 1], [0, 2], [0, 0], [2, 2], [1, 2], [1, 2], [2, 4], [3, 4], [0, 0], [0, 0], [1, 2]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [1, 2], [0, 0], [0, 0], [1, 2], [0, 0], [0, 0], [0, 0]]
[[1, 1], [1, 1], [1, 1], [0, 1], [0, 0], [0, 0], [2, 4], [0, 0], [1, 2], [3, 5], [0, 0], [0, 0], [1, 1]]
[[1, 1], [1, 2], [0, 0], [0, 2], [0, 0], [1, 2], [1, 4], [1, 2], [2, 5], [2, 4], [0, 0], [0, 0], [1, 2]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [1, 2], [0, 0], [0, 1], [1, 2], [0, 0], [0, 0], [0, 0]]
[[1, 2], [0, 0], [1, 2], [0, 2], [0, 0], [0, 1], [2, 3], [1, 2], [1, 1], [3, 10], [1, 1], [4, 6], [4, 6]]
[[0, 0], [0, 0], [2, 2], [1, 3], [0, 0], [2, 4], [1, 2], [0, 1], [1, 1], [4, 5], [1, 3], [0, 1], [0, 4]]
[[1, 2], [0, 2], [0, 0], [4, 4], [0, 1], [2, 4], [4, 6], [0, 0], [1, 5], [8, 14], [2, 2], [2, 5], [6, 7]]
[[2, 2], [2, 3], [0, 4], [3, 6], [0, 0], [4, 8], [6, 13], [1, 3], [2, 6], [3, 14], [4, 5], [2, 7], [1, 11]]
[[0, 0], [0, 0], [1, 1], [0, 0], [0, 0], [1, 1], [0, 1], [0, 1], [1, 1], [2, 4], [0, 0], [1, 1], [0, 0]]
[[1, 1], [2, 4], [2, 4], [4, 8], [0, 1], [6, 12], [6, 12], [0, 1], [4, 6], [10, 20], [7, 10], [3, 5], [9, 16]]
[[1, 3], [1, 2], [2, 6], [7, 13], [1, 1], [6, 12], [7, 14], [1, 1], [4, 9], [15, 27], [5, 8], [9, 17], [11, 17]]
[[1, 2], [1, 1], [0, 0], [2, 3], [1, 1], [1, 1], [0, 1], [0, 0], [0, 1], [0, 1], [1, 2], [3, 3], [2, 2]]
[[0, 1], [0, 1], [4, 5], [4, 6], [0, 1], [2, 6], [5, 9], [1, 1], [2, 4], [8, 15], [1, 2], [5, 7], [4, 6]]
[[7, 10], [1, 5], [6, 14], [11, 14], [2, 4], [10, 20], [12, 27], [1, 1], [7, 15], [22, 44], [13, 17], [8, 17], [16, 26]]
[[0, 1], [2, 3], [0, 2], [1, 5], [0, 0], [3, 10], [3, 8], [1, 2], [1, 2], [4, 17], [1, 2], [2, 8], [6, 10]]
[[2, 6], [1, 1], [3, 5], [5, 7], [0, 1], [2, 5], [8, 17], [0, 3], [2, 7], [9, 17], [6, 8], [6, 12], [12, 21]]
[[2, 6], [4, 4], [1, 7], [10, 11], [0, 0], [7, 16], [6, 17], [0, 2], [2, 6], [10, 26], [4, 10], [9, 21], [13, 26]]
[[0, 0], [0, 0], [0, 2], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [2, 2], [0, 0], [1, 3], [0, 0]]
[[0, 0], [0, 0], [0, 1], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [0, 0], [0, 2], [0, 0]]
[[2, 2], [1, 1], [1, 2], [0, 0], [0, 0], [0, 0], [0, 1], [0, 1], [2, 2], [2, 3], [0, 0], [0, 2], [0, 0]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
[[0, 1], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [1, 2], [0, 0], [0, 0], [0, 1], [1, 1]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [2, 2], [0, 2], [0, 0], [1, 1], [0, 0], [0, 2], [1, 1]]
[[0, 1], [0, 0], [1, 1], [0, 0], [0, 0], [0, 2], [0, 0], [0, 1], [1, 2], [1, 3], [0, 0], [0, 1], [1, 1]]
[[0, 0], [0, 0], [1, 1], [0, 0], [1, 1], [2, 2], [1, 1], [0, 0], [0, 0], [2, 2], [0, 0], [1, 1], [0, 0]]
[[0, 1], [0, 0], [0, 2], [0, 0], [1, 2], [0, 0], [1, 2], [0, 0], [0, 0], [1, 1], [0, 0], [1, 2], [0, 0]]
[[0, 2], [1, 1], [1, 3], [0, 0], [0, 0], [0, 1], [2, 3], [0, 2], [0, 1], [2, 4], [0, 0], [1, 4], [1, 1]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
[[2, 3], [2, 2], [2, 2], [0, 0], [1, 1], [2, 2], [1, 1], [0, 1], [1, 2], [3, 4], [0, 0], [2, 4], [0, 0]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 0], [0, 0], [0, 1], [0, 0], [0, 0], [0, 0]]
[[2, 4], [2, 3], [0, 2], [1, 7], [0, 1], [5, 12], [1, 3], [0, 1], [2, 4], [1, 6], [1, 4], [2, 7], [5, 10]]
[[1, 3], [2, 4], [1, 2], [5, 7], [0, 0], [3, 4], [5, 14], [2, 2], [0, 1], [1, 2], [6, 9], [2, 2], [6, 8]]
[[2, 2], [1, 2], [1, 2], [3, 4], [0, 0], [2, 4], [2, 5], [0, 1], [1, 1], [0, 2], [4, 5], [1, 2], [1, 4]]
[[6, 7], [2, 7], [1, 4], [1, 2], [2, 3], [7, 15], [5, 8], [2, 3], [3, 5], [3, 6], [2, 4], [4, 12], [8, 10]]
